fips,year,total_subs_adj
55033,2016,8553800.244
55035,2016,4066460.993
55037,2016,26109.43053
55039,2016,9921334.378
55041,2016,126121.0947
55043,2016,22336640.42
55045,2016,15068520.11
55047,2016,4622943.403
55049,2016,12899131.28
55051,2016,56531.34946
55053,2016,5303637.257
55055,2016,9305884.131
55057,2016,4896858.45
55059,2016,3949828.214
55061,2016,3323317.554
55063,2016,3166973.288
55065,2016,19674928.62
55067,2016,1767567.12
55069,2016,550478.9971
55071,2016,7257498.408
55073,2016,6528826.675
55075,2016,3731554.889
55077,2016,3577462.034
55078,2016,3383.95213
55079,2016,166018.7105
55081,2016,3868206.406
55083,2016,6945625.892
55085,2016,261585.3884
55087,2016,8362644.805
55089,2016,670963.6768
55091,2016,2279513.439
55093,2016,6869940.196
55095,2016,4388866.033
55097,2016,6236412.41
55099,2016,383113.2255
55101,2016,4705275.022
55103,2016,4413448.584
55105,2016,21538019.31
55107,2016,1868815.43
55109,2016,9835491.567
55111,2016,8470553.76
55113,2016,676569.5963
55115,2016,7864066.043
55117,2016,4574783.602
55119,2016,2816487.123
55121,2016,8110948.381
55123,2016,6284273.565
55125,2016,42279.42179
55127,2016,12860976.12
55129,2016,754277.4616
55131,2016,1192631.76
55133,2016,3732155.336
55135,2016,5158533.221
55137,2016,2879045.02
55139,2016,5778707.121
55141,2016,3577367.393
55001,2015,3348146.187
55003,2015,294612.7528
55005,2015,10135561.46
55007,2015,327652.8109
55009,2015,7259117.648
55011,2015,6226957.049
55013,2015,1526132.535
55015,2015,5511739.212
55017,2015,9253431.678
55019,2015,7051640.294
55021,2015,13561930.56
55023,2015,3959180.994
55025,2015,23025407.07
55027,2015,14077844.36
55029,2015,3991564.599
55031,2015,48472.53852
55033,2015,11002141.05
55035,2015,5150160.821
55037,2015,40268.46567
55039,2015,11329962.48
55041,2015,44144.61436
55043,2015,20735212.99
55045,2015,13003857.41
55047,2015,4271487.226
55049,2015,10990810.6
55051,2015,14799.35842
55053,2015,5008868.573
55055,2015,8848953.706
55057,2015,5695149.448
55059,2015,3547610.36
55061,2015,5424371.563
55063,2015,3182340.347
55065,2015,17529174.58
55067,2015,1680204.938
55069,2015,1280471.669
55071,2015,7979176.694
55073,2015,9138708.281
55075,2015,3793913.892
55077,2015,2637768.499
55078,2015,2967.295224
55079,2015,167422.0504
55081,2015,5785965.862
55083,2015,7260436.917
55085,2015,227502.8854
55087,2015,11416226.14
55089,2015,1990173.815
55091,2015,3357478.638
55093,2015,9650443.689
55095,2015,8335594.664
55097,2015,4891932.962
55099,2015,425369.9362
55101,2015,4762175.835
55103,2015,4524681.925
55105,2015,18352175.86
55107,2015,2287740.076
55109,2015,12940080.71
55111,2015,8509388.233
55113,2015,766476.3237
55115,2015,8205176.842
55117,2015,5307074.319
55119,2015,4279189.68
55121,2015,7927186.457
55123,2015,6209383.407
55125,2015,35986.14325
55127,2015,8495671.651
55129,2015,1521003.929
55131,2015,3145721.082
55133,2015,2267937.251
55135,2015,6032415.744
55137,2015,3146548.277
55139,2015,5982571.972
55141,2015,4541459.126
55001,2014,3072350.772
55003,2014,194513.7984
55005,2014,6048596.476
55007,2014,214965.119
55009,2014,4143482.493
55011,2014,2503332.779
55013,2014,917446.7286
55015,2014,1847902.18
55017,2014,5292303.707
55019,2014,4474720.263
55021,2014,5251896.817
55023,2014,2636512.656
55025,2014,9211730.902
55027,2014,5428542.475
55029,2014,2847847.189
55031,2014,53467.29809
55033,2014,5799343.303
55035,2014,2831247.96
55037,2014,42698.94839
55039,2014,4633962.943
55041,2014,41751.74709
55043,2014,14488282.38
55045,2014,6168207.537
55047,2014,1968657.688
55049,2014,8179400.681
55051,2014,44492.09115
55053,2014,2936594.043
55055,2014,3273731.253
55057,2014,3168708.99
55059,2014,1508443.378
55061,2014,2858440.443
55063,2014,1095565.928
55065,2014,12686480.84
55067,2014,1314511.824
55069,2014,739725.1848
55071,2014,3790907.379
55073,2014,5354550.021
55075,2014,1854674.986
55077,2014,2129456.183
55078,2014,0
55079,2014,102262.9319
55081,2014,2954422.101
55083,2014,3384669.831
55085,2014,239330.7648
55087,2014,4874814.715
55089,2014,648271.7394
55091,2014,1205028.856
55093,2014,3619438.63
55095,2014,4329993.601
55097,2014,3272519.299
55099,2014,277754.6499
55101,2014,1865784.033
55103,2014,2832955.665
55105,2014,7524156.78
55107,2014,1558392.952
55109,2014,5576130.782
55111,2014,4170570.552
55113,2014,604012.7568
55115,2014,3984779.865
55117,2014,1760346.184
55119,2014,2259662.608
55121,2014,3610363.218
55123,2014,2763020.988
55125,2014,48431.73129
55127,2014,4780273.9
55129,2014,879771.7443
55131,2014,1179466.023
55133,2014,1433210.492
55135,2014,2481348.848
55137,2014,2950158.641
55139,2014,2430920.4
55141,2014,2431568.041
55001,2013,3924155.609
55003,2013,408962.3759
55005,2013,9173109.538
55007,2013,450724.3332
55009,2013,7366114.245
55011,2013,4945745.488
55013,2013,1506186.337
55015,2013,4393538.561
55017,2013,9222224.066
55019,2013,8067655.407
55021,2013,9995714.463
55023,2013,3490359.311
55025,2013,18172645.97
55027,2013,11894163.1
55029,2013,4092117.425
55031,2013,79989.9717
55033,2013,9351554.386
55035,2013,4286826.758
55037,2013,49179.81241
55039,2013,9669601.749
55041,2013,54442.19789
55043,2013,16352669.7
55045,2013,10682900.45
55047,2013,3766809.534
55049,2013,9652901.675
55051,2013,71026.68546
55053,2013,4557433.453
55055,2013,7019407.912
55057,2013,4663971.876
55059,2013,2914349.106
